alembic 1.8.12
aom 3.14.1
assimp 6.0.5
bat 0.26.1
binutils 2.47
boost 1.90.0_1
brotli 1.2.0
btop 1.4.7
bun 1.3.14
ca-certificates 2026-08-13
cairo 1.18.4
certifi 2026.7.22
cffi 2.1.1 2.1.0
cgns 4.5.2
cmake 4.4.2
cocoapods 1.17.0
confuse 3.3
cowsay 3.8.4
cryptography 50.0.0 49.0.0
dav1d 1.5.4
dbus 1.16.2_1
double-conversion 3.4.0
eigen 5.0.1
esphome 2026.7.4
eza 0.23.5
f3d 3.5.0_2
fastfetch 2.67.1
ffmpeg 9.0.1
fish 4.8.1
flac 1.5.0
flashrom 1.7.0
fontconfig 2.18.3 2.18.2
fortune 9708
fpc 3.2.2_1
freetype 2.14.3
fribidi 1.0.16
fzf 0.74.2
gcc 16.1.0
gettext 1.0
gh 2.97.0
giflib 6.1.3
git 2.55.0
git-lfs 3.7.1
git-machete 3.44.1
glib 2.88.3 2.88.2
glslang 16.5.0
gmp 6.3.0
gnupg 2.5.21
gnutls 3.8.13_2
go 1.26.5 1.26.6
gpgme 2.1.2
gpgmepp 2.1.0
graphite2 1.3.15
gum 0.17.0
harfbuzz 14.2.1 14.3.1
hdf5 2.2.0
hwloc 2.14.0
icu4c@77 77.1_1
icu4c@78 78.3
imath 3.2.2
isl 0.28
jigger 0.7.0
jpeg-turbo 3.2.0
json-c 0.19
jsoncpp 1.9.8
lame 4.0
lazygit 0.64.1
libaec 1.1.7
libassuan 3.0.2
libavif 1.4.2
libb2 0.98.1
libevent 2.1.13
libftdi 1.5_2
libgcrypt 1.12.2
libgit2 1.9.7
libgpg-error 1.61
libharu 2.4.6
libidn2 2.3.8
libimagequant 4.4.1
libksba 1.8.0
liblinear 2.50
libmpc 1.4.1
libogg 1.3.6
libpng 1.6.58
libraqm 0.11.0
libssh2 1.11.1_4
libtasn1 4.21.0
libtiff 4.7.2
libtommath 1.3.0
libunistring 1.4.2
libusb 1.0.30
libuv 1.52.1
libvmaf 3.2.0
libvorbis 1.3.7
libvpx 1.16.0
libx11 1.8.13
libxau 1.0.12
libxcb 1.17.0
libxdmcp 1.1.5
libxext 1.3.7
libxrender 0.9.12
libyaml 0.2.5
libzip 1.11.4_1
little-cms2 2.19
llhttp 9.4.3
lolcat 100.0.1
lpeg 1.1.0_2
lua 5.5.1
luajit 2.1.1785763465
luarocks 3.13.0_1
luv 1.52.1-0
lz4 1.10.0
lzo 2.10
make 4.4.1
mame 0.289
mas 7.0.0
md4c 0.5.3
memcached 1.6.45
miniupnpc 2.3.3
molten-vk 1.4.2
mpdecimal 4.0.1
mpfr 4.2.2
mpg123 1.33.7 1.33.6
ncurses 6.6
neovim 0.12.4
netcdf 4.10.1
nettle 4.0
nlohmann-json 3.12.0
nmap 7.991
npth 1.8
nspr 4.40
nss 3.126.1
nushell 0.114.1
nvm 0.40.6
oh-my-posh 30.6.5
oniguruma 6.9.10
opencascade 7.9.3
openjpeg 2.5.4
openssl@3 3.6.3
opus 1.6.1
p11-kit 0.26.5
pcre2 10.47_1
pillow 12.3.0
pinentry 1.3.3
pipx 1.16.6
pixman 0.46.4
pkgconf 3.0.5
poppler 26.08.0
portaudio 19.7.0
portmidi 2.0.8
ppsspp 1.20.4
proj 9.8.1
pugixml 1.16
pycparser 3.0
pydantic 2.13.4
python-tk@3.14 3.14.7
python@3.13 3.13.15
python@3.14 3.14.7 3.14.6
qtbase 6.11.1
qtdeclarative 6.11.1
qtsvg 6.11.1
readline 8.3.3
ripgrep 15.2.0
ruby 4.0.6
rustup 1.29.0_2
sdl2-compat 2.32.70
sdl2_ttf 2.24.0
sdl3 3.4.12 3.4.14
sevenzip 26.02
snappy 1.2.2
spirv-headers 1.4.357.0
spirv-tools 1.4.357.0
sqlite 3.53.4
starship 1.26.0
superfile 1.6.0
svt-av1 4.2.0
tbb 2023.1.0
tcl-tk 9.0.4
tcl-tk@8 8.6.18
theora 1.2.0
tmux 3.7b
tree 2.3.2
tree-sitter 0.26.12
unibilium 2.1.2
utf8cpp 4.1.1
utf8proc 2.11.3
uv 0.12.4
vtk 9.6.2
webp 1.6.0
wget 1.25.0
x264 r3222
x265 4.2
xorgproto 2025.1
xz 5.8.3
yazi 26.5.6
yyjson 0.12.0
zoxide 0.10.0
zsh-autosuggestions 0.7.1
zsh-syntax-highlighting 0.8.0
zstd 1.5.7_1
1password-cli 2.38.1
aerospace 0.21.3-Beta
aldente 1.32
betterdisplay 4.3.6
claude-code 2.1.223
coconutbattery 4.3.3,218
dotnet-sdk 10.0.400
font-fira-code-nerd-font 3.5.0
font-hack-nerd-font 3.5.0
font-meslo-lg-nerd-font 3.5.0
font-sf-mono latest
font-sf-pro latest
freecad 1.1.3
ghostty 1.3.1
google-chrome 150.0.7871.129
homerow 1.4.0
iterm2 3.5.11
keycastr 0.10.5
kitty 0.48.2
macdroid 2.8
mouseless@preview 1.0.0-preview.5
obs 32.2.1
pashua 0.11
powershell 7.5.4
raycast 1.104.24
sf-symbols 6
vlc 3.0.21
